HomeTeamExpenditure,HomeTeamIncome,HomeTeamBalance,AwayTeamExpenditure,AwayTeamIncome,AwayTeamBalance,HomeElo,AwayElo,EloDiff,FTR,FTR
56.3,49.53,-6.78,25.91,26.39,0.475,1537.6860437114835,1529.462296544521,8.22374716696254,0,H
6.61,8.94,2.34,25.74,2.46,-23.29,1545.9385357037368,1416.7209457126382,129.21758999109852,1,D
20.8,0.532,-20.27,11.7,9.88,-1.83,1471.2535951735997,1510.704076788405,-39.45048161480531,1,D
52.39,37.72,-14.67,13.33,6.88,-6.45,1428.8641997657958,1499.9047875032625,-71.0405877374667,1,H
20.28,1.46,-18.81,34.48,35.55,1.07,1487.5856070355946,1455.0447250870432,32.54088194855149,1,H
0.0,0.145,0.145,53.15,12.33,-40.82,1414.9395185913925,1505.16004728851,-90.22052869711752,0,H
16.87,5.53,-11.34,33.47,10.0,-23.47,1559.7913074952614,1512.0314431403565,47.75986435490495,1,H
18.65,42.4,23.75,21.12,20.82,-0.305,1482.162218567972,1623.5536342289274,-141.39141566095532,0,D
19.0,26.28,7.28,11.7,9.7,-2.0,1415.2441592910584,1549.163945511416,-133.91978622035754,1,H
34.0,19.61,-14.4,9.6,4.5,-5.1,1523.7137529707472,1531.075159888279,-7.361406917531667,-1,A
21.12,20.82,-0.305,20.28,1.46,-18.81,1407.0559707021794,1501.1847979090892,-94.12882720690982,1,D
13.33,6.88,-6.45,19.0,26.28,7.28,1499.0805118355606,1418.7493992478926,80.33111258766803,1,H
34.48,35.55,1.07,18.65,42.4,23.75,1528.6524513951042,1487.9505090041114,40.701942390992826,1,D
9.6,4.5,-5.1,0.0,0.145,0.145,1494.0081449114489,1555.6035107141956,-61.595365802746755,1,H
53.15,12.33,-40.82,16.87,5.53,-11.34,1545.7573899540516,1487.9495270505558,57.80786290349579,1,H
11.7,9.7,-2.0,20.8,0.532,-20.27,1481.879759040436,1537.3310622975062,-55.451303257070094,0,H
33.47,10.0,-23.47,52.39,37.72,-14.67,1441.4455342135486,1435.75565340737,5.689880806178735,1,H
25.91,26.39,0.475,6.61,8.94,2.34,1529.8172779584984,1446.8892282286222,82.9280497298762,0,H
11.7,9.88,-1.83,34.0,19.61,-14.4,1617.765343792788,1509.0315229049745,108.73382088781341,-1,A
25.74,2.46,-23.29,56.3,49.53,-6.78,1501.35016663201,1572.742238800057,-71.39207216804698,0,D
19.0,26.28,7.28,0.0,0.145,0.145,1421.001283349596,1475.4225145811092,-54.421231231513275,0,D
20.8,0.532,-20.27,34.48,35.55,1.07,1537.9717397883533,1450.4030434162366,87.56869637211662,1,H
52.39,37.72,-14.67,6.61,8.94,2.34,1598.2184160947224,1558.2844024234982,39.93401367122419,1,H
13.33,6.88,-6.45,25.91,26.39,0.475,1528.5784506030398,1569.7026556713363,-41.12420506829653,1,H
53.15,12.33,-40.82,21.12,20.82,-0.305,1541.903202223916,1534.957159514123,6.946042709792891,1,A
11.7,9.7,-2.0,18.65,42.4,23.75,1511.6399158372913,1526.303462770884,-14.66354693359267,-1,H
34.0,19.61,-14.4,56.3,49.53,-6.78,1456.1999042713228,1510.6728467946366,-54.472942523313804,1,H
11.7,9.88,-1.83,9.6,4.5,-5.1,1504.3897497607306,1426.0232444211465,78.36650533958414,0,H
16.87,5.53,-11.34,20.28,1.46,-18.81,1474.6997581752996,1484.2536618238191,-9.553903648519508,1,H
25.74,2.46,-23.29,33.47,10.0,-23.47,1482.217524190122,1407.1570642888166,75.06045990130542,1,D
56.3,49.53,-6.78,11.7,9.7,-2.0,1493.3401435555022,1497.2726164228186,-3.932472867316392,1,H
21.12,20.82,-0.305,11.7,9.88,-1.83,1540.6707621853566,1611.5018785721306,-70.83111638677406,-1,A
6.61,8.94,2.34,16.87,5.53,-11.34,1429.3503654188864,1545.3456798371608,-115.99531441827435,1,A
34.48,35.55,1.07,19.0,26.28,7.28,1520.2570043365629,1490.1121294184004,30.144874918162486,1,A
9.6,4.5,-5.1,52.39,37.72,-14.67,1439.1056152181884,1473.5326075104572,-34.42699229226878,0,D
