Date,HomeTeam,AwayTeam,FTR,HomeAvgGoal_25,AwayAvgGoal_25
2001-08-18,Leeds,Southampton,H,,
2001-08-18,Charlton,Everton,A,,
2001-08-18,Leicester,Bolton,A,,
2001-08-19,Chelsea,Newcastle,D,,
2001-08-19,Man United,Fulham,H,,
2001-08-20,Everton,Tottenham,D,,
2001-08-21,Arsenal,Leeds,A,,
2001-08-21,Bolton,Middlesbrough,H,,
2001-08-21,Ipswich,Derby,H,,
2001-08-22,Blackburn,Man United,D,,
2001-08-22,Fulham,Sunderland,H,,
2001-08-25,West Ham,Leeds,D,,
2001-08-25,Southampton,Chelsea,A,,
2001-08-25,Ipswich,Charlton,A,,
2001-08-25,Fulham,Derby,D,,
2001-08-25,Blackburn,Tottenham,H,,
2001-08-25,Arsenal,Leicester,H,,
2001-08-25,Everton,Middlesbrough,H,,
2001-08-26,Aston Villa,Man United,D,,
2001-08-26,Newcastle,Sunderland,D,,
2001-08-27,Bolton,Liverpool,H,,
2001-09-08,Middlesbrough,Newcastle,A,,
2001-09-08,Chelsea,Arsenal,D,,
2001-09-08,Derby,West Ham,D,,
2001-09-08,Leeds,Bolton,D,,
2001-09-08,Leicester,Ipswich,D,,
2001-09-08,Liverpool,Aston Villa,A,,
2001-09-08,Man United,Everton,H,,
2001-09-08,Sunderland,Blackburn,H,,
2001-09-09,Tottenham,Southampton,H,,
2001-09-09,Charlton,Fulham,D,,
2001-09-15,Bolton,Southampton,A,,
2001-09-15,Derby,Leicester,A,,
2001-09-15,Everton,Liverpool,A,,
2001-09-15,Fulham,Arsenal,A,,
2001-09-15,Middlesbrough,West Ham,H,,
2001-09-15,Newcastle,Man United,H,,
2001-09-16,Charlton,Leeds,A,,
2001-09-16,Aston Villa,Sunderland,D,,
2001-09-16,Ipswich,Blackburn,D,,
2001-09-16,Tottenham,Chelsea,A,,
2001-09-17,Leicester,Middlesbrough,A,,
2001-09-19,Blackburn,Bolton,D,,
2001-09-19,Sunderland,Tottenham,A,,
2001-09-22,Man United,Ipswich,H,,
2001-09-22,Sunderland,Charlton,D,,
2001-09-22,Liverpool,Tottenham,H,,
2001-09-22,Leicester,Fulham,D,,
2001-09-22,Blackburn,Everton,H,,
2001-09-22,Arsenal,Bolton,D,,
2001-09-23,Chelsea,Middlesbrough,D,,
2001-09-23,Leeds,Derby,H,,
2001-09-23,West Ham,Newcastle,H,,
2001-09-24,Southampton,Aston Villa,A,,
2001-09-26,Newcastle,Leicester,H,,
2001-09-29,Bolton,Sunderland,A,,
2001-09-29,Charlton,Leicester,H,,
2001-09-29,Derby,Arsenal,A,,
2001-09-29,Everton,West Ham,H,,
2001-09-29,Middlesbrough,Southampton,A,,
2001-09-29,Tottenham,Man United,A,,
2001-09-30,Newcastle,Liverpool,A,,
2001-09-30,Ipswich,Leeds,A,,
2001-09-30,Fulham,Chelsea,D,,
2001-09-30,Aston Villa,Blackburn,H,,
2001-10-13,Southampton,Arsenal,A,,
2001-10-13,Sunderland,Man United,A,,
2001-10-13,Liverpool,Leeds,D,,
2001-10-13,Bolton,Newcastle,A,,
2001-10-13,Chelsea,Leicester,H,,
2001-10-13,Charlton,Middlesbrough,D,,
2001-10-13,Ipswich,Everton,D,,
2001-10-14,Aston Villa,Fulham,H,,
2001-10-14,Blackburn,West Ham,H,,
2001-10-15,Tottenham,Derby,H,,
2001-10-20,Arsenal,Blackburn,D,,
2001-10-20,Derby,Charlton,D,,
2001-10-20,Everton,Aston Villa,H,,
2001-10-20,Leicester,Liverpool,A,,
2001-10-20,Man United,Bolton,A,,
2001-10-20,West Ham,Southampton,H,,
2001-10-21,Newcastle,Tottenham,A,,
2001-10-21,Fulham,Ipswich,D,,
2001-10-21,Leeds,Chelsea,D,,
2001-10-22,Middlesbrough,Sunderland,H,,
2001-10-24,Aston Villa,Charlton,H,,
2001-10-24,Southampton,Ipswich,D,,
2001-10-24,West Ham,Chelsea,H,,
2001-10-27,Sunderland,Arsenal,D,,
2001-10-27,Aston Villa,Bolton,H,,
2001-10-27,Charlton,Liverpool,A,,
2001-10-27,Everton,Newcastle,A,,
2001-10-27,Fulham,Southampton,H,,
2001-10-27,Man United,Leeds,D,,
2001-10-27,Tottenham,Middlesbrough,H,,
2001-10-28,Ipswich,West Ham,A,,
2001-10-28,Derby,Chelsea,D,,
2001-10-29,Blackburn,Leicester,D,,
2001-11-03,West Ham,Fulham,A,,
2001-11-03,Southampton,Blackburn,A,,
2001-11-03,Newcastle,Aston Villa,H,,
2001-11-03,Bolton,Everton,D,,
2001-11-03,Leicester,Sunderland,H,,
2001-11-03,Middlesbrough,Derby,H,,
2001-11-04,Arsenal,Charlton,A,,
2001-11-04,Chelsea,Ipswich,H,,
2001-11-04,Leeds,Tottenham,H,,
2001-11-04,Liverpool,Man United,H,,
2001-11-17,Aston Villa,Middlesbrough,D,1.44,1.24
2001-11-17,Blackburn,Liverpool,D,,
2001-11-17,Derby,Southampton,H,1.16,0.72
2001-11-17,Fulham,Newcastle,H,,
2001-11-17,Man United,Leicester,H,,0.56
2001-11-17,Tottenham,Arsenal,D,1.72,1.24
2001-11-18,Ipswich,Bolton,A,1.52,
2001-11-18,Sunderland,Leeds,H,1.24,1.44
2001-11-18,Everton,Chelsea,D,1.68,1.28
2001-11-19,Charlton,West Ham,D,1.4,1.04
2001-11-24,Bolton,Fulham,D,,
2001-11-24,Chelsea,Blackburn,D,,
2001-11-24,Leicester,Everton,D,1.28,
2001-11-24,Newcastle,Derby,H,1.4,
2001-11-24,Southampton,Charlton,H,,
