Date,HomeTeam,AwayTeam,FTR,HTR,Referee,HomeTeamExpenditure,HomeTeamIncome,HomeTeamBalance,AwayTeamExpenditure,AwayTeamIncome,AwayTeamBalance
2000-12-02,Liverpool,Charlton,H,H,Rob Styles,34.0,19.61,-14.4,20.8,0.532,-20.27
2000-12-02,Man United,Tottenham,H,H,Graham Poll,11.7,9.88,-1.83,25.74,2.46,-23.29
2000-12-02,West Ham,Middlesbrough,H,H,Roy Burton,18.65,42.4,23.75,33.47,10.0,-23.47
2000-12-03,Chelsea,Man City,H,H,Dermot Gallagher,52.39,37.72,-14.67,20.28,1.46,-18.81
2000-12-04,Sunderland,Everton,H,H,Peter Jones,16.87,5.53,-11.34,34.48,35.55,1.07
2000-12-09,Arsenal,Newcastle,H,H,Mike Dean,56.3,49.53,-6.78,25.91,26.39,0.475
2000-12-09,Bradford,Tottenham,D,A,Neale Barry,6.61,8.94,2.34,25.74,2.46,-23.29
2000-12-09,Charlton,Man United,D,A,Steve Lodge,20.8,0.532,-20.27,11.7,9.88,-1.83
2000-12-09,Chelsea,Derby,H,H,Paul Taylor,52.39,37.72,-14.67,13.33,6.88,-6.45
2000-12-09,Man City,Everton,H,H,Steve Bennett,20.28,1.46,-18.81,34.48,35.55,1.07
2000-12-09,Southampton,Leeds,H,H,Paul Durkin,0.0,0.145,0.145,53.15,12.33,-40.82
2000-12-09,Sunderland,Middlesbrough,H,D,Graham Poll,16.87,5.53,-11.34,33.47,10.0,-23.47
2000-12-09,West Ham,Aston Villa,D,D,Mike Riley,18.65,42.4,23.75,21.12,20.82,-0.305
2000-12-10,Coventry,Leicester,H,H,Steve Dunn,19.0,26.28,7.28,11.7,9.7,-2.0
2000-12-10,Liverpool,Ipswich,A,A,Alan Wiley,34.0,19.61,-14.4,9.6,4.5,-5.1
2000-12-16,Aston Villa,Man City,D,D,Andy D'Urso,21.12,20.82,-0.305,20.28,1.46,-18.81
2000-12-16,Derby,Coventry,H,H,Matt Messias,13.33,6.88,-6.45,19.0,26.28,7.28
2000-12-16,Everton,West Ham,D,D,Clive Wilkes,34.48,35.55,1.07,18.65,42.4,23.75
2000-12-16,Ipswich,Southampton,H,A,Barry Knight,9.6,4.5,-5.1,0.0,0.145,0.145
2000-12-16,Leeds,Sunderland,H,H,Rob Styles,53.15,12.33,-40.82,16.87,5.53,-11.34
2000-12-16,Leicester,Charlton,H,D,Alan Wiley,11.7,9.7,-2.0,20.8,0.532,-20.27
2000-12-16,Middlesbrough,Chelsea,H,D,Peter Jones,33.47,10.0,-23.47,52.39,37.72,-14.67
2000-12-16,Newcastle,Bradford,H,H,Steve Dunn,25.91,26.39,0.475,6.61,8.94,2.34
2000-12-17,Man United,Liverpool,A,A,Mike Riley,11.7,9.88,-1.83,34.0,19.61,-14.4
2000-12-18,Tottenham,Arsenal,D,H,Jeff Winter,25.74,2.46,-23.29,56.3,49.53,-6.78
2000-12-22,Coventry,Southampton,D,H,Alan Wiley,19.0,26.28,7.28,0.0,0.145,0.145
2000-12-23,Charlton,Everton,H,H,Graham Barber,20.8,0.532,-20.27,34.48,35.55,1.07
2000-12-23,Chelsea,Bradford,H,H,Barry Knight,52.39,37.72,-14.67,6.61,8.94,2.34
2000-12-23,Derby,Newcastle,H,H,Rob Harris,13.33,6.88,-6.45,25.91,26.39,0.475
2000-12-23,Leeds,Aston Villa,A,A,Mark Halsey,53.15,12.33,-40.82,21.12,20.82,-0.305
2000-12-23,Leicester,West Ham,H,D,Graham Poll,11.7,9.7,-2.0,18.65,42.4,23.75
2000-12-23,Liverpool,Arsenal,H,H,Paul Durkin,34.0,19.61,-14.4,56.3,49.53,-6.78
2000-12-23,Man United,Ipswich,H,H,Steve Bennett,11.7,9.88,-1.83,9.6,4.5,-5.1
2000-12-23,Sunderland,Man City,H,H,David Ellaray,16.87,5.53,-11.34,20.28,1.46,-18.81
2000-12-23,Tottenham,Middlesbrough,D,D,Rob Styles,25.74,2.46,-23.29,33.47,10.0,-23.47
2000-12-26,Arsenal,Leicester,H,H,Dermot Gallagher,56.3,49.53,-6.78,11.7,9.7,-2.0
2000-12-26,Aston Villa,Man United,A,D,Graham Poll,21.12,20.82,-0.305,11.7,9.88,-1.83
2000-12-26,Bradford,Sunderland,A,A,Paul Durkin,6.61,8.94,2.34,16.87,5.53,-11.34
2000-12-26,Everton,Coventry,A,D,Neale Barry,34.48,35.55,1.07,19.0,26.28,7.28
2000-12-26,Ipswich,Chelsea,D,A,Jeff Winter,9.6,4.5,-5.1,52.39,37.72,-14.67
2000-12-26,Man City,Derby,D,D,Mike Riley,20.28,1.46,-18.81,13.33,6.88,-6.45
2000-12-26,Middlesbrough,Liverpool,H,H,Steve Lodge,33.47,10.0,-23.47,34.0,19.61,-14.4
2000-12-26,Newcastle,Leeds,H,H,Andy D'Urso,25.91,26.39,0.475,53.15,12.33,-40.82
2000-12-26,West Ham,Charlton,H,H,Steve Dunn,18.65,42.4,23.75,20.8,0.532,-20.27
2000-12-27,Southampton,Tottenham,H,H,David Ellaray,0.0,0.145,0.145,25.74,2.46,-23.29
2000-12-30,Arsenal,Sunderland,D,H,Graham Barber,56.3,49.53,-6.78,16.87,5.53,-11.34
2000-12-30,Ipswich,Tottenham,H,H,Matt Messias,9.6,4.5,-5.1,25.74,2.46,-23.29
2000-12-30,Man City,Charlton,A,A,Clive Wilkes,20.28,1.46,-18.81,20.8,0.532,-20.27
2000-12-30,Middlesbrough,Coventry,D,A,Dermot Gallagher,33.47,10.0,-23.47,19.0,26.28,7.28
2000-12-30,Newcastle,Man United,D,A,Mike Riley,25.91,26.39,0.475,11.7,9.88,-1.83
2000-12-30,Southampton,Derby,H,D,Andy D'Urso,0.0,0.145,0.145,13.33,6.88,-6.45
2001-01-01,Charlton,Arsenal,H,H,Graham Poll,20.8,0.532,-20.27,56.3,49.53,-6.78
2001-01-01,Chelsea,Aston Villa,H,H,Paul Durkin,52.39,37.72,-14.67,21.12,20.82,-0.305
2001-01-01,Coventry,Man City,D,D,Barry Knight,19.0,26.28,7.28,20.28,1.46,-18.81
2001-01-01,Derby,Everton,H,H,Alan Wiley,13.33,6.88,-6.45,34.48,35.55,1.07
2001-01-01,Leeds,Middlesbrough,D,A,David Ellaray,53.15,12.33,-40.82,33.47,10.0,-23.47
2001-01-01,Leicester,Bradford,A,A,Steve Lodge,11.7,9.7,-2.0,6.61,8.94,2.34
2001-01-01,Liverpool,Southampton,H,D,Dermot Gallagher,34.0,19.61,-14.4,0.0,0.145,0.145
2001-01-01,Man United,West Ham,H,H,Peter Jones,11.7,9.88,-1.83,18.65,42.4,23.75
2001-01-01,Sunderland,Ipswich,H,D,Neale Barry,16.87,5.53,-11.34,9.6,4.5,-5.1
2001-01-02,Tottenham,Newcastle,H,H,Steve Bennett,25.74,2.46,-23.29,25.91,26.39,0.475
2001-01-13,Arsenal,Chelsea,D,H,David Ellaray,56.3,49.53,-6.78,52.39,37.72,-14.67
2001-01-13,Aston Villa,Liverpool,A,A,Graham Barber,21.12,20.82,-0.305,34.0,19.61,-14.4
2001-01-13,Bradford,Man United,A,D,Alan Wiley,6.61,8.94,2.34,11.7,9.88,-1.83
2001-01-13,Everton,Tottenham,D,D,Andy D'Urso,34.48,35.55,1.07,25.74,2.46,-23.29
2001-01-13,Man City,Leeds,A,A,Mike Dean,20.28,1.46,-18.81,53.15,12.33,-40.82
2001-01-13,Middlesbrough,Derby,H,H,Rob Styles,33.47,10.0,-23.47,13.33,6.88,-6.45
2001-01-13,Newcastle,Coventry,H,H,Jeff Winter,25.91,26.39,0.475,19.0,26.28,7.28
2001-01-13,Southampton,Charlton,D,D,Steve Lodge,0.0,0.145,0.145,20.8,0.532,-20.27
2001-01-13,West Ham,Sunderland,A,A,Matt Messias,18.65,42.4,23.75,16.87,5.53,-11.34
2001-01-14,Ipswich,Leicester,H,D,Mike Riley,9.6,4.5,-5.1,11.7,9.7,-2.0
2001-01-20,Chelsea,Ipswich,H,D,Andy D'Urso,52.39,37.72,-14.67,9.6,4.5,-5.1
2001-01-20,Coventry,Everton,A,A,Paul Durkin,19.0,26.28,7.28,34.48,35.55,1.07
2001-01-20,Derby,Man City,D,D,Jeff Winter,13.33,6.88,-6.45,20.28,1.46,-18.81
2001-01-20,Leeds,Newcastle,A,A,Alan Wiley,53.15,12.33,-40.82,25.91,26.39,0.475
2001-01-20,Leicester,Arsenal,D,D,Barry Knight,11.7,9.7,-2.0,56.3,49.53,-6.78
2001-01-20,Liverpool,Middlesbrough,D,D,Steve Dunn,34.0,19.61,-14.4,33.47,10.0,-23.47
2001-01-20,Man United,Aston Villa,H,D,Mike Riley,11.7,9.88,-1.83,21.12,20.82,-0.305
2001-01-20,Tottenham,Southampton,D,D,Clive Wilkes,25.74,2.46,-23.29,0.0,0.145,0.145
2001-01-21,Sunderland,Bradford,D,D,Mark Halsey,16.87,5.53,-11.34,6.61,8.94,2.34
2001-01-22,Charlton,West Ham,D,H,Dermot Gallagher,20.8,0.532,-20.27,18.65,42.4,23.75
2001-01-24,Aston Villa,Leeds,A,D,Steve Bennett,21.12,20.82,-0.305,53.15,12.33,-40.82
2001-01-30,Arsenal,Bradford,H,H,Clive Wilkes,56.3,49.53,-6.78,6.61,8.94,2.34
2001-01-30,Charlton,Derby,H,D,Mike Dean,20.8,0.532,-20.27,13.33,6.88,-6.45
2001-01-31,Chelsea,Newcastle,H,D,Mark Halsey,52.39,37.72,-14.67,25.91,26.39,0.475
2001-01-31,Everton,Middlesbrough,D,A,Graham Barber,34.48,35.55,1.07,33.47,10.0,-23.47
2001-01-31,Leeds,Coventry,H,D,Rob Harris,53.15,12.33,-40.82,19.0,26.28,7.28
2001-01-31,Man City,Liverpool,D,A,Peter Jones,20.28,1.46,-18.81,34.0,19.61,-14.4
2001-01-31,Southampton,Leicester,H,D,Steve Bennett,0.0,0.145,0.145,11.7,9.7,-2.0
2001-01-31,Sunderland,Man United,A,D,Graham Poll,16.87,5.53,-11.34,11.7,9.88,-1.83
2001-01-31,West Ham,Tottenham,D,D,Neale Barry,18.65,42.4,23.75,25.74,2.46,-23.29
2001-02-03,Bradford,Aston Villa,A,D,Dermot Gallagher,6.61,8.94,2.34,21.12,20.82,-0.305
